              POLÍCIA MILTAR DO ESTADO DE SĂO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB AGO24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;ABS-17201;GGR-8E95;02/08/2024;29878;152,64; R$990,63 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;UR-17210;EWZ-1B95;03/08/2024;43324;39,70; R$253,56 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;GGR-8E95;08/08/2024;30144;169,50; R$1.100,06 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;UR-17210;EWZ-1B95;07/08/2024;43590;50,00; R$324,50 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;UR-17210;EWZ-1B95;10/08/2024;43858;40,61; R$263,56 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;VO-17007;DJL-3120;12/08/2024;141323;44,54; R$280,16 ;IPIRANGA-FERRAZ CENTRO;GASOLINA;;;;;;
17GB;UR-17210;EWZ-1B95;13/08/2024;44111;43,00; R$279,07 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;UR-17210;EWZ-1B95;16/08/2024;44377;43,02; R$279,20 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;GGR-8E95;16/08/2024;30488;161,62; R$1.048,91 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;MOTO SERRA;XXX-0016;16/08/2024;0;2,11; R$13,27 ;IPIRANGA-FERRAZ CENTRO;GASOLINA;;;;;;
17GB;UR-17208;BZF-1518;19/08/2024;109247;35,96; R$233,38 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17203;EWZ-1B95;21/08/2024;44737;58,98; R$382,78 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;UR-17210;GGR-8E95;21/08/2024;30609;73,72; R$478,44 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;GGR-8E95;23/08/2024;30821;129,31; R$839,22 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;EWZ-1B95;24/08/2024;44872;24,40; R$158,62 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;EWZ-1B95;21/08/2024;30916;53,93; R$350,01 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;EWZ-1B95;26/08/0204;109475;36,86; R$239,22 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17201;EWZ-1B95;26/08/2024;141676;34,00; R$213,86 ;IPIRANGA-FERRAZ CENTRO;GASOLINA;;;;;;
17GB;ABS-17201;GGR-8E95;29/08/2024;31076;101,77; R$660,49 ;IPIRANGA-FERRAZ CENTRO;DIESEL-S10;;;;;;
17GB;ABS-17205;GIU-7B96;06/08/2024;11608;180,32; R$1.098,15 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;ABS-17205;GIC-3F68;15/08/2024;51586;127,52; R$776,60 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;ABS-17205;GIC-3F68;24/08/2024;52010;84,81; R$516,49 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;ABS-17205;GIC-3F68;29/08/2024;52189;406,04; R$645,78 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;01/08/2024;56653;45,14; R$274,90 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;03/08/2024;56953;36,00; R$219,24 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;06/08/2024;57253;37,33; R$227,34 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;11/08/2024;57669;30,41; R$185,20 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17211;FQO-1D01;19/08/2024;55735;38,00; R$231,42 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;16/08/2024;57959;45,79; R$278,86 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;18/08/2024;58186;38,97; R$237,33 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;24/08/2024;58461;40,01; R$244,57 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17212;GJH-1F17;31/08/2024;58667;49,79; R$301,27 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;UR-17208;EZF-1518;31/08/2024;109699;43,52; R$282,44 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL-S10;;;;;;
17GB;ABS-17102;EEF-7331;03/08/2024;167307;81,02; R$517,76 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;08/08/2024;167635;80,45; R$514,10 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;19/08/2024;167982;92,12; R$588,69 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;22/08/2024;168167;52,71; R$336,84 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;30/08/2024;168374;54,51; R$348,34 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;11/08/2024;144075;138,21; R$883,17 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;25/08/2024;144611;190,35; R$1.216,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;30/08/2024;144852;155,36; R$992,74 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;03/08/2024;37714;166,20; R$1.062,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;09/08/2024;38051;177,00; R$1.095,63 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;15/08/2024;38219;75,91; R$485,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;18/08/2024;38382;88,02; R$562,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;22/08/2024;38700;123,75; R$766,01 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;24/08/2024;38847;77,70; R$496,56 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;10/08/2024;47538;55,58; R$355,20 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;15/08/2024;47847;53,90; R$344,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;18/08/2024;48113;44,40; R$283,75 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;21/08/2024;48282;24,42; R$156,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;24/08/2024;48620;49,81; R$318,33 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;27/08/2024;48856;38,54; R$246,27 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;30/08/2024;49113;39,84; R$254,57 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;03/08/2024;166674;59,16; R$378,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;07/08/2024;167033;62,53; R$399,58 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ASE-17101;BFG-1779;07/08/2024;162469;89,49; R$571,81 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;04/08/2024;6014;132,68; R$847,83 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;09/08/2024;6105;168,89; R$1.079,25 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;21/08/2024;6337;168,04; R$1.073,80 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;31/08/2024;6515;134,13; R$857,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;EQUIPAMENTO;EQUIP-01;09/08/2024;137;5,00; R$31,35 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;EQUIPAMENTO;EQUIP-02;03/08/2024;28;4,00; R$25,10 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;CA-17001;BVZ-7844;02/08/2024;253660;55,42; R$340,30 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;CA-17001;BVZ-7844;06/08/2024;253789;26,88; R$165,05 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;MOB-17102;FDF-9996;22/08/2024;76691;7,67; R$48,10 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;23/08/2024;76860;8,58; R$53,82 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;26/08/2024;76920;4,47; R$28,07 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;27/08/2024;77022;6,39; R$40,09 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;28/08/2024;77109;5,09; R$31,90 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;05/08/2024;65715;6,79; R$42,60 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;07/08/2024;65785;3,94; R$24,70 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;12/08/2024;65892;7,13; R$44,71 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;15/08/2024;65995;6,33; R$39,72 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;19/08/2024;66126;7,26; R$45,53 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;22/08/2024;66212;6,42; R$40,28 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;23/08/2024;66385;8,74; R$54,81 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;26/08/2024;66448;4,60; R$28,84 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;27/08/2024;66553;5,98; R$37,52 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;28/08/2024;66643;4,99; R$31,31 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;05/08/2024;57853;6,38; R$40,05 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;07/08/2024;57923;4,15; R$26,07 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;12/08/2024;58030;6,78; R$42,51 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;15/08/2024;58131;5,63; R$35,33 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;19/08/2024;58261;7,34; R$46,02 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;TP-17000;SVX-6D77;01/08/2024;8469;25,53; R$109,54 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;05/08/2024;8717;23,52; R$100,91 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;06/08/2024;8961;25,11; R$107,72 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;08/08/2024;9218;27,73; R$119,00 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;09/08/2024;9351;12,80; R$56,21 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;09/08/2024;9473;12,46; R$53,47 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;12/08/2024;9736;28,11; R$120,63 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;13/08/2024;9993;23,15; R$101,62 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;13/08/2024;10130;19,12; R$82,04 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;14/08/2024;10376;22,02; R$94,47 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;15/08/2024;10621;22,01; R$94,44 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;16/08/2024;10751;14,91; R$65,48 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;22/08/2024;10991;24,52; R$100,30 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;23/08/2024;11235;25,90; R$111,14 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;30/08/2024;11356;15,73; R$69,07 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;01/08/2024;6156;17,67; R$77,55 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;02/08/2024;6308;19,51; R$85,66 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;05/08/2024;6460;17,10; R$75,07 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;06/08/2024;6612;18,08; R$79,40 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;07/08/2024;6770;17,08; R$74,99 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;08/08/2024;6922;17,66; R$77,54 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
