FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,2556,04/04/2022,UT-17001,86319,"1. Fornecer e substituir 04 (quatro) pneus com as seguintes características: 
 - Medidas: 175/70R14;
 - Índice de carga: 84;
 - Índice de velocidade: T;
 2. Realizar o balanceamento das 04 (quatro) rodas;
 3. Realizar o alinhamento de direção.",APICE MOGI,"R$ 2.600,00",FINALIZADA NA NEO,,
*****,*****,*****,14/03/2022,MOB-17101,58857,Conserto do chicote da antena da codificção da chave e troca do gerador CJ (ou CKP) de pulsos,ROTA 1,"R$ 580,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2559,05/04/2022,VO-17008,199275,"1. Fornecer e substituir o conjunto de cilindros da embreagem;
 2. Fornecer e substituir o braço pitman;
 3. Realizar o alinhamento de direção.",APICE MOGI,"R$ 2.235,00",FINALIZADA NA NEO,,
*****,*****,2560,*****,ABE-17101,*****,"1. Fornecer e substituir o hélice do radiador (modelo novo);
 2. Fornecer e substituir o kit de mangueiras do sistema de arrefecimento;
 3. Fornecer e substituir a mangueira inferior do radiador;
 4. Fornecer e substituir os retentores e pistas dos cubos das rodas traseiras de ambos os lados;
 5. Fornecer e substituir as catracas dos freios traseiros de ambos os lados;
 6. Fornecer e substituir as buchas do ""s"" Cummins de ambos os lados;
 OBS.: os itens 7 a 11 tratam-se apenas de mão de obra, pois as devidas peças serão fornecidas pelo Corpo de Bombeiros:
 7. Substituir os tambores dos freios traseiros de ambos os lados;
 8. Substituir os kits de lonas traseiras de ambos os lados;
 9. Substituir o radiador de arrefecimento;
 10. Substituir os prisioneiros das rodas traseiras de ambos os lados;
 11. Substituir o reparo da bomba de água e carcaça.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,*****,16/03/2022,AS-17101,272203,RETIRADA 04 PNEUS TRASEIROS (OBS.: PNEUS FORNECIDOS PELO CSM),CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,17/03/2022,AS-17101,272203,DIAGNÓSTICO NO SISTEMA DE FREIOS,BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,18/03/2022,ASE-17101,150155,REPARO NO CILINDRO DA PATOLA,EVR REPRESENTAÇÕES,"R$ 2.350,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,18/03/2022,MOB-17105,39909,TROCA DA PLACA DO SISTEMA DE SINAIS SONOROS E LUMINOSOS (OBS.: PEÇA FORNECIDA PELO CSM AO CB PM VIANA. TROCA EFETUADA PELO CB PM VIANA),EB BRÁS CUBAS,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,21/03/2022,CA-17001,247786,TROCA DO CILINDRO DE EMBREAGEM (GARANTIA),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,21/03/2022,ABS-17102,145747,REPARO NO MOTOR DE PARTIDA (TROCA DO AUTOMÁTICO; TROCA DO PORTA ESCOVA; TROCA DE 3 LÂMPADAS),REI DAS BATERIAS,"R$ 478,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2569,25/04/2022,CM-17102,35532,"1. Fornecer e substituir o kit de sincronização da 4ª marcha;
 2. Fornecer e substituir o óleo do câmbio.",CURIÓ SERVIÇOS,"R$ 9.015,23",FINALIZADA NA NEO,,
*****,*****,*****,22/03/2022,VO-17003,249183,TROCA DO PAINEL DE INSTRUMENTOS,COBRA VELOCÍMETROS,"R$ 2.000,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/03/2022,AS-17101,272203,COMPRA DOS 2 PNEUS DIANTEIROS,DELLAVIA PNEUS,"R$ 1.540,00",NÃO HOUVE O.S. GEFROE,,
40.678,*****,*****,25/03/2022,AS-17101,272203,TROCA DOS 6 PNEUS (OBS.: APENAS MONTAGEM. PNEUS DIANTEIROS COMPRADOS NA DELLAVIA PNEUS MOGI. PNEUS TRASEIROS FORNECIDOS PELO CSM),RE9 DIESEL,"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,22/03/2022,ASE-17101,150155,COMPRA DA MOLA DO ACELERADOR SCANIA,NOGUTI CAMINHÕES,"R$ 8,49",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,23/03/2022,MOB-17105,39977,TROCA DA CÂMARA DE AR DO PNEU TRASEIRO,ROTA 1,"R$ 172,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,16/03/2022,AB-17102,69699,SOCORRO MECÂNICO E TROCA DA MANGUEIRA HIDRAULICA,BF DIESEL,"R$ 550,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2572,05/04/2022,ASE-17101,150214,"1. Fornecer e substituir 12 (doze) laminas de acoplamento da bomba injetora;
 2. Fornecer e substituir o retentor do eixo da bomba injetora;
 3. Fornecer e substituir o jogo de parafusos para acoplamento;",BF DIESEL,"R$ 2.020,00",FINALIZADA NA NEO,,
*****,*****,2573,13/04/2022,AS-17101,272550,"1. Fornecer e substituir o jogo de lonas traseiro;
 2. Fornecer e substituir tambor de freio traseiro lado direito;
 3. Fornecer e substituir patim do freio traseiro lado direito;
 4. Fornecer e substituir retentor do cubo traseiro lado direito;
 5. Fornecer e substituir o óleo do cambio diferencial 80W90.",BF DIESEL,"R$ 2.470,00",FINALIZADA NA NEO,,
*****,*****,2586,04/05/2022,MT-17001,21140,"1. Fornecer e substituir óleo de motor;
 2. Fornecer e substituir o filtro de óleo de motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível;",LYLLY MOTOS,"R$ 161,00",FINALIZADA NA NEO,,
*****,*****,2587,20/04/2022,MOB-17105,40797,"1. Fornecer e substituir óleo de motor;
 2. Fornecer e substituir o filtro de óleo de motor;
 3. Fornecer e substituir o filtro de ar do motor;",RAVI MOTOS,"R$ 939,79",FINALIZADA NA NEO,,
40.584,*****,*****,04/04/2022,ABS-17102,146394,COMPRA DE: 01 FECHO DO CINTO DE SEGURANÇA DIANT.ESQ.; 02 LÂMPADAS H11 55W 12V; 03 LÂMPADAS 24V DE PAINEL.,NOGUTI CAMINHÕES,"R$ 211,62",NÃO HOUVE O.S. GEFROE,,
*****,*****,2592,14/04/2022,UT-17001,87037,"1. Fornecer e substituir o jogo de pastilhas de freio;
 2. Fornecer e substituir os discos de freio;
 3. Fornecer e substituir o fluído de freio;
 4. Regular e limpar o freio traseiro;
 5. Fornecer e substituir o óleo do motor;
 6. Fornecer e substituir o filtro de óleo do motor;
 7. Fornecer e substituir o filtro de combustível;
 8. Fornecer e substituir o filtro de ar do motor;",R 9 AUTO PECAS E SERVICOS,"R$ 1.280,00",FINALIZADA NA NEO,,
*****,*****,2593,28/04/2022,AS-17201,???,"1. Fornecer e substituir 02 (dois) pneus dianteiros de medida 7.50 R16, com índice de carga e velocidade: 122/120L.
 2. Realizar o balanceamento dos pneus;
 3. Realizar alinhamento de direção.",COSMORAMA,"R$ 3.196,00",FINALIZADA NA NEO,,
*****,*****,2594,14/04/2022,AC-17002,139800,"1. Fornecer e substituir o jogo de pastilhas de freio;
 2. Fornecer e substituir os discos do freio dianteiro;
 3. Fornecer e substituir os tambores do freio traseiro;
 4. Fornecer e substituir as lonas do freio traseiro;",APICE MOGI,"R$ 2.330,00",FINALIZADA NA NEO,,
42.037,*****,*****,06/04/2022,MO-17001,145020,TROCA DO COXIM DO MOTOR E TROCA DO SUPORTE DO MOTOR,APICE MOGI,"R$ 1.248,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,06/04/2022,CA-17001,247790,REPARO NA EMBREAGEM (GARANTIA),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,06/04/2022,AB-17102,70060,REPARO NO SISTEMA DOS SINAIS LUMINOSOS,LUIZ (ENGESIG),"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2598,*****,ABE-17101,*****,"1. Fornecer e substituir o hélice do radiador (modelo novo);
 2. Fornecer e substituir o kit de mangueiras do sistema de arrefecimento;
 3. Fornecer e substituir a mangueira inferior do radiador;
 4. Fornecer e substituir os retentores e pistas dos cubos das rodas traseiras de ambos os lados;
 5. Fornecer e substituir as catracas dos freios traseiros de ambos os lados;
 6. Fornecer e substituir as buchas do ""s"" Cummins de ambos os lados;
 OBS.: os itens 7 a 11 tratam-se apenas de mão de obra, pois as devidas peças serão fornecidas pelo Corpo de Bombeiros:
 7. Substituir os tambores dos freios traseiros de ambos os lados;
 8. Substituir os kits de lonas traseiras de ambos os lados;
 9. Substituir o radiador de arrefecimento;
 10. Substituir os prisioneiros das rodas traseiras de ambos os lados;
 11. Substituir o reparo da bomba de água e carcaça.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2600,09/05/2022,ASE-17101,150214,"1. Fornecer e substituir o berço da bomba injetora Scania;
 2. Fornecer e substituir o rolamento da bomba injetora.",BF DIESEL,"R$ 5.860,00",FINALIZADA NA NEO,,
*****,*****,*****,11/04/2022,MOB-17101,58857,COMPRA DE: SENSOR CJ (CKP) PULSOS,MOTO FIELD,"R$ 1.069,18",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,11/04/2022,MOB-17104,52713,COMPRA DE: GERADOR CJ (CKP) PULSOS,MOTO FIELD,"R$ 1.069,18",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,12/04/2022,VO-17003,249431,PROBLEMAS MECÂNICOS NO MOTOR (ACIONADA A GARANTIA). (OBS.: VTR RETIRADA DA OFICINA EM 25/05/2022 PELO CB LEANDRO E CB VIDOTTO).,GARAGGEM SERVIÇOS AUTOMOTIVOS,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2606,28/04/2022,MO-17001,145908,"1. Fornecer e substituir os dois faróis dianteiros;
 2. Realizar o devido ajuste de foco.",BF DIESEL,"R$ 1.790,00",FINALIZADA NA NEO,,
*****,*****,2607,06/06/2022,UT-17002,212964,"1. Fornecer e substituir os dois faróis dianteiros, por completo.",BF DIESEL,"R$ 1.780,00",FINALIZADA NA NEO,,
40.676,*****,*****,20/04/2022,MO-17001,145585,GRAFISMO,DIGITFIX,"R$ 100,00",NÃO HOUVE O.S. GEFROE,,
40.676,*****,*****,14/04/2022,VO-17103,18798,GRAFISMO,DIGITFIX,"R$ 155,00",NÃO HOUVE O.S. GEFROE,,
40.685,*****,*****,18/04/2022,VO-17102,35500,SERVIÇO DE INSTALAÇÃO DE 04 PNEUS,RE9 DIESEL,"R$ 80,00",NÃO HOUVE O.S. GEFROE,,
40.681,*****,*****,12/04/2022,CA-17001,247788,OBS.: FUNILARIA E PINTURA DA VO-17103 (SERVIÇO FAKE: RECONDICIONAMENTO DOS BICOS INJETORES; REGULAGEM DE VÁLVULAS DO MOTOR).,BF DIESEL,"R$ 1.150,00",NÃO HOUVE O.S. GEFROE,,
40.627,*****,*****,19/04/2022,MOB-17105,40797,TROCA DO CABO DE EMBREAGEM E ROLAMENTO DA CAIXA DE DIREÇÃO,RAVI MOTOS,"R$ 700,00",NÃO HOUVE O.S. GEFROE,,
40.675,*****,*****,27/04/2022,MOB-17101,58950,TROCA DO CABO DE EMBREAGEM E ROLAMENTO DA CAIXA DE DIREÇÃO,RAVI MOTOS,"R$ 700,00",NÃO HOUVE O.S. GEFROE,,
40.670,*****,*****,13/04/2022,AS-17101,272700,REPARO NO ALTERNADOR; TROCA DA CORREA DO ALTERNADOR,REI DAS BATERIAS,"R$ 554,00",NÃO HOUVE O.S. GEFROE,,
40.680,*****,*****,13/04/2022,ASE-17101,150214,REPARO NO MOTOR DE PARTIDA,REI DAS BATERIAS,"R$ 120,00",NÃO HOUVE O.S. GEFROE,,
40.665,*****,*****,19/04/2022,TP-17004,131258,TESTES NOS SISTEMAS DE INJEÇÃO E IGNIÇÃO; LIMPEZA DA TBI,NICOLAU,"R$ 140,00",NÃO HOUVE O.S. GEFROE,,
40.642,*****,*****,25/04/2022,AS-17101,272941,"RECONDICIONAMENTO DO PRIMEIRO BICO INJETOR, TROCA DA CORREIA AUXILIAR, TROCA CANO DA LINHA DE COMBUSTÍVEL, SOCORRO MECÂNICO",DANIEL (4 TEMPOS - ITAQUÁ),"R$ 1.261,00",NÃO HOUVE O.S. GEFROE,,
40.652,*****,*****,25/04/2022,ABS-17102,147288,TROCA DE: MOLA TRASEIRA 80x27 900 450x450 LAMINADA RETA COM FUROS; ESPIGÃO 14x8 AÇO FRESADO; GRAMPO 5/8; PORCA DUPLA 5/8; PORCA SIMPLES 14MB; REBITE FERRO CABEÇA REDONDA 3/8x1,MOLAMEC,"R$ 596,26",NÃO HOUVE O.S. GEFROE,,
40.674,*****,*****,23/04/2022,MT-17004,62260,TROCA DO CABO DO VELOCÍMETRO,ROTA 1,"R$ 64,00",NÃO HOUVE O.S. GEFROE,,
40.671,*****,*****,27/04/2022,AS-17101,272941,TROCA DO TENSOR DA CORREA DO ALTERNADOR,REI DAS BATERIAS,"R$ 518,00",NÃO HOUVE O.S. GEFROE,,
40.676,*****,*****,26/04/2022,ABS-17102,147230,REPARO NO MANGOTINHO (EMENDA MANGUEIRA 1 POL),UNIFLEX,"R$ 99,00",NÃO HOUVE O.S. GEFROE,,
40.673,*****,*****,27/04/2022,MT-17004,62259,TROCA DO PNEU TRASEIRO (OBS.: APENAS M.O. => PNEU FORNECIDO PELO CSM),TOTAL MOTOS,"R$ 45,00",NÃO HOUVE O.S. GEFROE,,
40.581,*****,*****,27/04/2022,AB-17102,70488,REPARO ELÉTRICO NO SISTEMA DO FAROL,LUIZ (ENGESIG),R$ -,NÃO HOUVE O.S. GEFROE,,
40.672,*****,*****,29/04/2022,CA-17001,247981,CONSERTO DE PNEU DIANTEIRO LD PASSAGEIRO,RE9 DIESEL,"R$ 30,00",NÃO HOUVE O.S. GEFROE,,
40.665,*****,*****,02/05/2022,TP-17004,131398,RETÍFICA DE CABEÇOTE; TROCA DA COIFA DA HOMOCINÉTICA (LADO DO CÂMBIO); TROCA DA BOBINA DE IGNIÇÃO.,MULTI PNEUS,"R$ 2.653,00",NÃO HOUVE O.S. GEFROE,,
40.684,*****,*****,04/04/2022,ASE-17101,150300,"PEÇAS DIVERSAS (GRAXA, ÓLEO, CABO DE ACWELERADOR...)",NOGUTI CAMINHÕES,"R$ 499,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2625,31/05/2022,RE-17102,*****,"1. Fornecer e substituir 04 (quatro) pneus para caminhão, destinados ao reboque, dimensões 295/80 r22,5, construção radial, aro 22,5, ic 152/148, cod. vel. “m”, novo (primeira vida), com certificação compulsória inmetro. Atendendo a norma ABNT NBR 15296/2005;
 2. Efetuar a montagem, balanceamento e calibragem de 08 (oito) pneus, conforme especificações do fabricante.",APICE MOGI,"R$ 13.000,00",FINALIZADA NA NEO,,
*****,*****,2626,???,AS-17201,???,Fornecer e substituir 02 (duas) câmaras de ar para pneu 7.50R16.,COSMORAMA,"R$ 290,00",FINALIZADA NA NEO,,
*****,*****,*****,04/05/2022,VO-17103,20626,"REVISÃO DOS 20.000 KM => TROCA DE: ÓLEO, FILTRO DE ÓLEO, FILTRO DE AR DO MOTOR, E FILTRO DE COMBUSTÍVEL. OBS.: PRÓXIMA REVISÃO AOS 30.000 KM OU 04/05/2023 (O QUE OCORRER PRIMEIRO).",DESTAQUE FIAT MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
40.706,*****,*****,09/05/2022,MOB-17104,52713,COMPRA DE 01 BATERIA (12L VP PIONEIRO),DOMÍNIO MOTOS,"R$ 385,00",NÃO HOUVE O.S. GEFROE,,
40.719,*****,*****,20/04/2022,MOB-17104,52713,Troca do gerador CJ (ou CKP) de pulsos,ROTA 1,"R$ 580,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2634,*****,TP-17001,*****,"1. Fornecer e substituir kit da correia dentada com rolamento tensor;
 2. Fornecer e substituir 02 (dois) faróis completos dianteiros;",*****,R$ -,CANCELADA NA NEO,,
41.726,*****,*****,03/05/2022,ABS-17102,147674,"REPARO NO IMPLEMENTO: SOLDA INTERNA NO TANQUE, FABRICAÇÃO DE SUPORTE EM INOX, MONTAGEM E DESMONTAGEM DE COMPARTIMENTOS, USINAGEM DO SUPORTE E TUBULAÇÃO INTERNA",REPRESSU,"R$ 1.483,60",NÃO HOUVE O.S. GEFROE,,
40.581,*****,*****,16/05/2022,AB-17102,70973,TROCA DO CONECTOR DO FAROL LD; DIAGNÓSTICO DEFEITO NA LANTERNA TRASEIRA ESQUERDA; REPARO NO CHICOTE DE ACIONAMENTO DOS FARÓIS,EVR REPRESENTAÇÕES,"R$ 1.100,00",NÃO HOUVE O.S. GEFROE,,
41.725,*****,*****,17/05/2022,ABS-17102,147674,"TROCA DA COROA, PINHÃO E ROLAMENTO DO DIFERENCIAL",BAIANINHO,"R$ 3.902,43",NÃO HOUVE O.S. GEFROE,,
41.727,*****,*****,17/05/2022,AC-17002,141471,TROCA DO ÓLEO E FILTRO DA TRANSMISSÃO AUTOMÁTICA,SH MATIC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,18/05/2022,ABS-17106,4227,REVISÃO DE ASSENTAMENTO DAS 50 HORAS,DIBRACAM,R$ -,NÃO HOUVE O.S. GEFROE,,
41.755,*****,*****,20/05/2022,ABE-17101,110893,COMPRA DE MANGUEIRA DO RADIADOR,JACFLEX,"R$ 170,20",NÃO HOUVE O.S. GEFROE,,
41.721,*****,*****,20/05/2022,AS-17101,273594,RECONDICIONAMENTO DO RADIADOR,RCM RADIADORES,"R$ 500,00",NÃO HOUVE O.S. GEFROE,,
41.728,*****,*****,24/05/2022,CM-17102,36410,TROCA DO SENSOR EMISSOR HALL CUMMINS ISC,TIZIL,"R$ 245,00",NÃO HOUVE O.S. GEFROE,,
41.757,*****,*****,19/05/2022,TP-17001,281087,SOCORRO NO LOCAL (PANE NO SISTEMA DE ALIMETAÇÃO DE COMBUSTÍVEL),DANIEL (4 TEMPOS - ITAQUÁ),R$ -,NÃO HOUVE O.S. GEFROE,,
41.758,*****,*****,16/05/2022,VO-17001,77072,"INSP. NOS SEGUINTES ITENS: BÓIA DE COMBUSTÍVEL, MARCADADOR DE TEMPERATURA, MARCADOR DE COMBUSTÍVEL.",BAIANO VELOCIMETRO,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2640,13/06/2022,ASE-17101,150400,"Fornecer e substituir 02 (duas) baterias de 150Ah, 12V, selada.",APICE MOGI,"R$ 2.970,00",FINALIZADA NA NEO,,
41.758,*****,*****,24/05/2022,*****,*****,"COMPRA DE: 01 BÓIA DO TANQUE DE COMBUSTÍVEL (VO-17001), 01 CHAVE DE SETA (VO-17001), 06 LÂMPADAS 5W-12V, 06 LÂMPADAS 21W-12V, 06 LÂMPADAS 21/5W-12V, 02 FARÓIS AUXILIARES LED REDONDO (AS-17101).",NOGUTI CAMINHÕES,"R$ 668,15",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/05/2022,AC-17002,142150,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO COM 143.000 KM - INFORMÇAO DO CB PM GILSON),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
40.710,*****,*****,26/05/2022,ABS-17103,127709,RECONDICIONAMENTO DA BOMBA DA DIREÇÃO HIDRÁULICA; TROCA DO FLEXÍVEL DA DIR. HIDRÁULICA; TROCA DO ÓLEO HIDRÁULICO,BF DIESEL,"R$ 3.405,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2641,*****,UR-17206,*****,"RADIADOR; JOGO CORRENTE DE DISTRIBUICAO DO MOTOR (C/ GUIA, TENSOR E TENSIONADOR); FILTRO DE AR; FILTRO DE COMBUSTIVEL; FILTRO LUBRIFICANTE; OLEO DE MOTOR 5W30; ADITIVO DE RADIADOR; CORREIA DO ALTERNADOR; REMAPEAMENTO DE MÓDULO; RECONDICIONAMENTO DE TURBINA DO MOTOR; LIMPEZA NO SISTEMA DE ARREFECIMENTO; RECONDICIONAMENTO DE BICOS INJETORES.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2642,10/06/2022,TP-17001,281218,"1. Fornecer e substituir 02 (dois) rolamentos roda dianteira e traseira (LD e LE);
 2. Fornecer e substituir o kit da correia dentada (correia e rolamento tensor);
 3. Fornecer e substituir o sensor de rotação;
 4. Fornecer e substituir o coxim do câmbio;
 5. Fornecer e substituir o coxim do motor lado direito e esquerdo;
 6. Fornecer e substituir o puxador da porta lado esquerdo (motorista), conforme fabricante;
 7. Fornecer e substituir a capa do pisca do retrovisor, lado direito e esquerdo;
 8. Realizar limpeza do respiro do tanque de combustível;
 9. Recondicionar o motor de partida;
 10. Fornecer e substituir bateria de 60Ah, selada, primeira linha.",DANIEL (4 TEMPOS - ITAQUÁ),"R$ 4.800,00",FINALIZADA NA NEO,,
*****,*****,2643,29/06/2022,UT-17002,213550,"1. Fornecer e substituir o pivo da suspensão lado direito e esquerdo;
 2. Fornecer e substituir a bieleta dianteira;
 3. Fornecer e substituir a bucha da bandeja inferior;
 4. Fornecer e substituir a coifa da homocinética roda;
 5. Fornecer e substituir a coifa da homocinética câmbio;
 6. Fornecer e substituir o coxim do escapamento.",BF DIESEL,"R$ 1.716,00",FINALIZADA NA NEO,,
*****,*****,2644,*****,AC-17002,*****,"1. Fornecer e substituir o óleo do motor, conforme especificação da fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível;
 5. Fornecer e substituir o filtro de ar da cabine.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2645,20/06/2022,TP-17000,241400,"1. Fornecer e substituir o óleo do motor, conforme especificação da fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível;
 5. Fornecer e substituir o filtro de ar da cabine.
 6. Fornecer e substituir os limpadores do para-brisas dianteiro;
 7. Realizar higienização do sistema de ar condicionado;
 8. Realizar serviço de lavagem completa e limpeza interna da viatura.",R 9 AUTO PECAS E SERVICOS,"R$ 1.220,00",FINALIZADA NA NEO,,
41.765,*****,*****,24/05/2022,VO-17001,77267,TROCA DA CHAVE DE SETA,MACSOM,"R$ 100,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,24/05/2022,AT-17104,138844,RECARGA NAS BATERIAS,MACSOM,"R$ 40,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,24/05/2022,ASE-17101,150214,RECARGA NAS BATERIAS,MACSOM,"R$ 40,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,28/05/2022,AS-17101,274011,COMPRA DE 01 RELÊ DE PISCA,NOGUTI CAMINHÕES,"R$ 40,66",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,28/05/2022,AS-17101,274011,TROCA DO 01 RELÊ DE PISCA (OBS.: SOMENTE M.O.),MACSOM,"R$ 50,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,27/05/2022,ABS-17105,22906,"REVISÃO DAS 500 HORAS, COM TROCA DOS SEGUINTES ITENS: ÓLEO DO MOTOR, FILTRO DE ÓLEO DO MOTOR, FILTRO RACOR, FILTRO DE COMBUSTÍVEL. OBS.: HORÍMETRO ESTÁ DESATUALIZADO. PRÓXIMA REVISÃO COM 700 HS",DIBRACAM,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,30/05/2022,VO-17103,24700,TROCA DA SEGUINTE PEÇA DA CENTRAL DE INJEÇÃO: CENTRAL ECM (OBS.: GARANTIA),DESTAQUE FIAT MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,30/05/2022,CM-17102,36410,INSPEÇÃO E REGULAGEM DE FREIOS. (PRÓXIMA INSP. COM 39.000 KM),TIZIL,R$ -,NÃO HOUVE O.S. GEFROE,,
41.782,*****,*****,30/05/2022,AS-17101,274070,TROCA DOS 02 PNEUS DIANTEIROS,SHIMIZU,"R$ 1.970,00",NÃO HOUVE O.S. GEFROE,,
41.767,*****,*****,27/05/2022,MOB-17102,64823,TROCA DA CÂMARA DE AR DO PNEU TRASEIRO,TOTAL MOTOS,"R$ 110,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2647,*****,UR-17104,*****,BATERIA (95AH AC DELCO),*****,R$ -,CANCELADA NA NEO,,
*****,*****,2648,*****,AC-17002,*****,"1. Fornecer e substituir o semi eixo dianteiro lado direito;
 2. Fornecer e substituir o semi eixo dianteiro lado esquerdo;",*****,R$ -,CANCELADA NA NEO,,
41.800,*****,*****,01/06/2022,TP-17004,132720,TROCA DOS KIT DOS AMORTECEDORES DIANTEIRO; REGULAGEM DE FREIO; ALINHAMENTO DE DIREÇÃO,MULTI PNEUS,"R$ 512,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,02/06/2022,ABS-17102,148369,INSPEÇÃO DE FREIOS. (OBS.: PRÓXIMA INSPEÇÃO COM 151.000 KM),BAIANINHO,R$ -,NÃO HOUVE O.S. GEFROE,,
