FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
41.782,*****,*****,03/06/2022,AS-17101,274082,"ALINHAMENTO, BALANCEAMENTO E TROCA DE BICO",MV PNEUS,"R$ 310,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,03/06/2022,UT-17002,212964,TROCA DE VOLANTE,CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
41.986,*****,*****,20/05/2022,ASE-17101,150214,CONSERTO DA ALAVANCA DO CÂMBIO; TROCA DA BUCHA DA ALAVANCA DO CÂMBIO; INSPEÇÃO DE FREIO OBS.: PRÓXIMA INSPEÇÃO DE FREIO: 152.000 KM),TIZIL,"R$ 300,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,02/06/2022,AB-17102,71598,INSPEÇÃO DE FREIO (PRÓXIMA INSPEÇÃO: 73000 MILHAS),TIZIL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,03/06/2022,AS-17101,274082,"REPARO NA BARRA DE DIREÇÃO (TROCA DE: CANO INJETOR, ABRAÇADEIRAS, TERMINAL DE DIREÇÃO L.E., LÂMPADA DA SETA)",BF DIESEL,"R$ 485,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2651,29/06/2022,ABE-17101,110992,"1. Fornecer e substituir o óleo do motor;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de combustível;
 4. Fornecer e substituir o filtro de ar do motor.",INJETRONIC,"R$ 4.266,67",FINALIZADA NA NEO,,
*****,*****,2652,11/07/2022,ABS-17203,?????,"1. Fornecer e substituir 02 (dois) pneus para caminhão, dianteiros, dimensões 275/80 R22,5, construção radial, aro 22,5, ic 152/148, cod. vel. “m”, novo (primeira vida), com certificação compulsória inmetro. Atendendo a norma ABNT NBR 15296/2005;
 2. Efetuar a montagem, balanceamento e calibragem de 06 (oito) pneus, conforme especificações do fabricante;
 3. Efetuar alinhamento de direção;
 4. Fornecer e substituir as palhetas dos limpadores do para-brisas.",APICE MOGI,"R$ 7.320,00",FINALIZADA NA NEO,,
40.666,*****,*****,17/05/2022,UT-17002,211664,"REFORMA DOS BANCOS (TROCA DE FAIXA DO ASSENTO, CONSERTO DE ESPUMAS, CAPA DE PROTEÇÃO DE PLÁSTICO TRANSPARENTE)",MALDONADO,"R$ 1.100,00",NÃO HOUVE O.S. GEFROE,,
40.668,*****,*****,01/06/2022,ABS-17103,127709,REFORMA DO BANCO DO MOTORISTA E PASSAGEIRO; REVISÃO DO BANCO DO MOTORISTA; JOGO DE CAPA DE PLÁSTICO TRANSPARENTE,MALDONADO,"R$ 950,00",NÃO HOUVE O.S. GEFROE,,
40.669,*****,*****,22/07/2022,AS-17101,273794,JOGO DE CAPA DE PROTEÇÃO DE PLÁSTICO TRANSPARENTE (BANCOS DIANTEIROS E TRASEIROS),MALDONADO,"R$ 1.100,00",NÃO HOUVE O.S. GEFROE,,
40.667,*****,*****,19/05/2022,VO-17001,77072,"REFORMA DO BANCO DO MOTORISTA, TROCA DE ESPUMA DO ASSENTO, REVISÃO DO BANCO DO PASSAGEIRO",MALDONADO,"R$ 680,00",NÃO HOUVE O.S. GEFROE,,
41.816,*****,*****,27/05/2022,MO-17001,146905,"CAPAS DE PROTEÇÃO DOS BANCOS TRASEIROS E DIANTEIROS, E CONSERTO DO BANCO DO MOTORISTA",MALDONADO,"R$ 1.350,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,06/06/2022,AS-17101,274205,INSPEÇÃO DE FREIOS (OBS.: PRÓX. INSP. COM 275.000 KM),BAIANINHO,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,07/06/2022,ABS-17105,23323,TROCA DO HORÍMETRO (OBS.: PEÇA FORNECIDA PELA DIBRACAN - GARANTIA),MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
41.827,*****,*****,08/06/2022,UT-17001,89560,"COMPRA DE: 05 LÂMPADAS H7, 01 PAR DE PALHETAS DIANTEIRA, 01 TINTA SPRAY PRETO FOSCO",NOGUTI,"R$ 276,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2663,14/07/2022,UR-17206,168414,"1. Fornecer e substituir o radiador de água do motor;
 2. Fornecer e substituir o kit de corrente de distribuição completo;
 3. Fornecer e substituir a correia do alternador;
 4. Fornecer e substituir o filtro de ar do motor;
 5. Fornecer e substituir o filtro de combustível;
 6. Fornecer e substituir o filtro de óleo do motor;
 7. Fornecer e substituir o óleo do motor conforme especificação do fabricante;
 8. Fornecer e substituir a água do sistema de arrefecimento, sendo agua desmineralizada e colocar o aditivo para o sistema;
 9. Recondicionar 04 (quatro) bicos injetores;
 10. Realizar o remapeamento do módulo;
 11. Recondicionar a turbina;
 12. Realizar limpeza do sistema de arrefecimento",COSMORAMA,"R$ 13.434,00",FINALIZADA NA NEO,,
*****,*****,2664,25/07/2022,TP-17001,281290,"1. Corrigir irregularidades e deformidades na funilaria, corrigir e alinhar suportes de fixação dos para-choques;
 2. Preparar superfície para pintura;
 3. Realizar pintura externa do veículo, conforme cor já existente;
 4. Realizar revitalização das partes plásticas e acessórios;
 5. Fornecer e substituir o volante da direção;
 6. Fornecer e substituir as palhetas dos limpadores do para-brisas;
 7. Fornecer e substituir jogo de calotas;
 8. Realizar lavagem completa do veículo e realizar higienização interna;
 9. Realizar substituição da tapeçaria das portas e puxadores, conforme modelo já existente;
 10. Restaurar os bancos (motorista, passageiro dianteiro e passageiro traseiro), conforme modelo já existente.",INJETRONIC,"R$ 9.262,67",FINALIZADA NA NEO,,
*****,*****,2665,30/06/2022,AC-17002,143770,"1. Fornecer e substituir o óleo do motor, conforme especificação da fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de combustível;
 5. Fornecer e substituir o filtro de ar da cabine;
 6. Fornecer e substituir o filtro secador de combustível.",APICE MOGI,"R$ 1.130,00",FINALIZADA NA NEO,,
*****,*****,2668,15/06/2022,UR-17104,100308,"1. Fornecer e substituir bateria conforme especificação do fabricante;
 2. Fornecer e substituir as palhetas dos limpadores do para-brisas.",R 9 AUTO PECAS E SERVICOS,"R$ 1.500,00",FINALIZADA NA NEO,,
*****,*****,2669,23/06/2022,AC-17002,143600,"1. Fornecer e substituir o semi eixo dianteiro lado direito;
 2. Fornecer e substituir o semi eixo dianteiro lado esquerdo;
 3. Fornecer e substituir as palhetas do limpador do para-brisas.",BF DIESEL,"R$ 3.300,00",FINALIZADA NA NEO,,
*****,*****,*****,09/06/2022,MT-17004,63886,TROCA DE ÓLEO DO MOTOR OBS.: PRÓXIMA TROCA COM 65.000 KM),MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,09/06/2022,TP-17000,239510,REPARO EM PNEU (QSA CB PM ADRIANO),*****,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,09/06/2022,MOTOMEC,*****,COMPRA DE: 70 CM TUBO NYLON 1/2 (PARA VO-17001); 01 BICO PULVERIZADOR COM CANECA 750 ML; 01 ESPIGÃO 5/16,UNIFLEX,"R$ 70,36",NÃO HOUVE O.S. GEFROE,,
41.829,*****,*****,24/05/2022,ABS-17102,147864,COMPRA DE: MANG. AR/ÁGUA; ESPIGÃO LATÃO; REGISTRO DE ESFERA EM LATÃO; COTOVELO 90 (FÊMEA); COTOVELO 90 (MACHO / FÊMEA); ABRAÇADEIRA MANGOTINHO; NIPLE REDUÇÃO,UNIFLEX,"R$ 308,78",NÃO HOUVE O.S. GEFROE,,
*****,*****,2674,22/06/2022,CA-17001,248659,"1. Fornecer e substituir o óleo do motor;
 2. Fornecer e substituir o elemento do filtro de combustível;
 3. Fornecer e substituir o filtro de ar do motor;
 4. Fornecer e substituir o filtro de óleo do motor;
 5. Realizar lavagem do chassi e lubrificar os pontos de graxa, com graxa apropriada.",BF DIESEL,"R$ 1.275,00",FINALIZADA NA NEO,,
*****,*****,2675,29/06/2022,UT-17002,213952,"1. Fornecer e substituir o óleo do motor;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o elemento do filtro de combustível;
 4. Fornecer e substituir o filtro de ar do motor;
 5. Realizar lavagem completa, interna e externa, no veículo, inclusive lavagem de motor.",BF DIESEL,"R$ 925,00",FINALIZADA NA NEO,,
*****,*****,2677,28/06/2022,AS-17101,274904,"1. Realizar lavagem do chassi e motor;
 2. Realizar lubrificação dos pontos de graxa, fornecendo a graxa apropriada para o serviço;",MARVANS,"R$ 450,00",FINALIZADA NA NEO,,
*****,*****,2678,23/08/2022,AB-17102,73600,"1. Fornecer e substituir o óleo do motor conforme fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de óleo hidráulico;
 4. Fornecer e substituir os filtros de combustível;
 5. Fornecer e substituir o filtro de ar do motor;
 6. Realizar lavagem do chassi;
 7. Realizar lubrificação de todos os pontos de graxa, fornecendo a graxa apropriada.",CURIÓ SERVIÇOS,"R$ 7.318,03",FINALIZADA NA NEO,,
*****,*****,2679,23/06/2022,AC-17002,143600,1. Fornecer e substituir os dois coxins do motor (LD e LE).,BF DIESEL,"R$ 720,00",FINALIZADA NA NEO,,
*****,*****,2680,10/08/2022,VO-17008,202859,"Fornecer e substituir a capota de lona marítima, com fechamento tipo ziplock, com auto regulagem da lona e sistema de lona destacável.",AUTO REPAIR 4X4,"R$ 1.140,00",FINALIZADA NA NEO,,
*****,*****,2681,23/06/2022,ASE-17101,150415,"1. Realizar lavagem e lubrificação do chassi, motor e implemento;
 2. Realizar lubrificação de todos os pontos de graxa, inclusive implemento, fornecendo a graxa apropriada;",APICE MOGI,"R$ 680,00",FINALIZADA NA NEO,,
41.842,*****,*****,13/06/2022,MO-17001,147288,REPARO EM PNEU,RE9 DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,09/06/2022,VO-17001,77324,TROCA DA MANGUEIRA DO FREIO,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
41.846,*****,*****,13/06/2022,MOB-17104,52849,REVISÃO ELÉTRICA (IGNIÇÃO E SINAIS SONOROS E LUMINOSOS); TROCA DE ÓLEO DO MOTOR; TROCA DO FILTRO DE ÓLEO DO MOTOR,RAVI MOTOS,"R$ 341,70",NÃO HOUVE O.S. GEFROE,,
41.841,*****,*****,13/06/2022,MT-17001,21274,VELA DE IGNIÇÃO,TOTAL MOTOS,"R$ 38,00",NÃO HOUVE O.S. GEFROE,,
41.845,*****,*****,13/06/2022,ASE-17101,150422,VAZAMENTO NO CILINDRO DA PATOLA LE (DESMONTAGEM E MONTAGEM DO CILINDRO HIDRÁULICO ESTABILIZADOR DA VIGA ESQUERDA DO MUNK; DESMONTAGEM E MONTAGEM DO CILINDRO EM BANCADA; CROMAÇÃO DA HASTE DO CILINDRO HIDRÁULICO; BRUNIMENTO E RETÍFICA DA CAMISA),EVR REPRESENTAÇÕES,"R$ 4.050,00",NÃO HOUVE O.S. GEFROE,,
41.847,*****,*****,13/06/2022,MOB-17101,60123,TROCA DO KIT RELAÇÃO (MARCA KMC),SUKA MOTOS,"R$ 757,00",NÃO HOUVE O.S. GEFROE,,
41.848,*****,*****,14/06/2022,AS-17101,274415,REPARO NO MOTOR DE PARTIDA (TROCA DO PORTA ESCOVA E BENDIX),MACSOM,"R$ 460,00",NÃO HOUVE O.S. GEFROE,,
018/100/22,*****,*****,13/06/2022,RE-17102,*****,FUNILARIA NA PARTE SUPERIOR DO TANQUE DE ÁGUA,ANTONINHO,"R$ 7.000,00",NÃO HOUVE O.S. GEFROE,,
41.853,*****,*****,15/06/2022,AC-17002,143109,REPARO NO ALTERNADOR (TROCA DO REGULADOR DE VOLTAGEM),MACSOM,"R$ 530,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2683,08/07/2022,ABS-17101,224733,"1. Fornecer e substituir os prisioneiros do coletor de escape e admissão;
 2. Fornecer e substituir o jogo de junta do coletor de escape e admissão;
 3. Sacar o prisioneiro quebrado dentro do coletor de escape e admissão.",BF DIESEL,"R$ 822,00",FINALIZADA NA NEO,,
41.881,*****,*****,21/06/2022,ASE-17101,150415,"REPARO NO MOTOR DE ARRANQUE (TROCA DE: AUTOMÁTICO, INDUZIDO E BOBINA)",MACSOM,"R$ 1.550,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2685,19/07/2022,AC-17002,144492,04 PNEUS 265/70R16 (GOODYEAR); 04 BICOS PARA PNEU; ALINHAMENTO; BALANCEAMENTO,APICE MOGI,"R$ 5.621,00",FINALIZADA NA NEO,,
*****,*****,*****,25/06/2022,ABS-17105,24225,INSTALAÇÃO DA PROTEÇÃO DE ACRÍLICO NO PAINEL DE CONTROLE E OPERAÇÃO DA BOMBA DE INCÊNDIO (OBS.: PEÇA FORNECIDA PELA EMPRESA MITREN - RESPONSÁVEL PELA GARANTIA),PB GUARAREMA,R$ -,NÃO HOUVE O.S. GEFROE,,
41.914,*****,*****,27/06/2022,AC-17002,143704,TROCA DA MOLA LD TRASEIRO; TROCA DAS BUCHAS DAS MOLAS LADO DIREITO E ESQUERDO,MOLAMEC,"R$ 993,90",NÃO HOUVE O.S. GEFROE,requisição,
41.921,*****,*****,30/06/2022,VO-17008,202015,COMPRA DO SENSOR DE ROTAÇÃO,NOGUTI CAMINHÕES,"R$ 223,28",NÃO HOUVE O.S. GEFROE,,
41.921,*****,*****,30/06/2022,VO-17008,202015,INSTALAÇÃO DO SENSOR DE ROTAÇÃO,MACSOM,"R$ 120,00",NÃO HOUVE O.S. GEFROE,requisição,
41.919,*****,*****,30/06/2022,CM-17102,36740,COMPRA DE TOMADA DE FORÇA E MAÇANETA DA PORTA,NOGUTI CAMINHÕES,"R$ 175,91",NÃO HOUVE O.S. GEFROE,,
41.919,*****,*****,30/06/2022,CM-17102,36740,INSTALAÇÃO / LIGAÇÃO DA TOMADA DE FORÇA,MACSOM,"R$ 80,00",NÃO HOUVE O.S. GEFROE,,
41.898,*****,*****,30/06/2022,ASE-17101,150415,REPARO ELÉTRICO EM RAY LIGHT (TROCA DO INVERSOR DE VOLTAGEM); TROCA DE 02 LÂMPADAS,MACSOM,"R$ 521,00",NÃO HOUVE O.S. GEFROE,requisição,
41.928,*****,*****,30/06/2022,UT-17002,213952,TROCA DE PASTILHA DE FREIO DIANTEIRA.,BF DIESEL,"R$ 240,00",NÃO HOUVE O.S. GEFROE,requisição,
41.932,*****,*****,24/06/2022,AC-17002,143600,TROCA DAS PASTILHAS DE FREIO (OBS.: PRÓXIMA INSP. COM 146.000 KM),BF DIESEL,"R$ 265,00",NÃO HOUVE O.S. GEFROE,,
41.939,*****,*****,04/07/2022,MOB-17102,65652,"TROCA DOS RETENTORES DO GARFO; TROCA DE 01 CILINDRO INTERNO DO GARFO; TROCA DE 1,2 LITROS DE ÓLEO DE SUSPENSÃO.",RAVI MOTOS,"R$ 1.762,00",NÃO HOUVE O.S. GEFROE,,
41.918,*****,*****,06/07/2022,MOB-17104,52849,TROCA DE ÓLEO DO MOTOR (10W30); TROCA DO FILTRO DE ÓLEO DO MOTOR; TROCA DA BENGALA; RETENTOR E ÓLEO DA BENGALA; LIMPEZA DO CORPO DE INJEÇÃO; TROCA DAS PASTILHAS DO FREIO DIANTEIRO; TROCA DO PAR DE RETROVISOR; REVISÃO ELÉTRICA (CHICOTE DA ANTENA).,RAVI MOTOS,"R$ 1.438,90",NÃO HOUVE O.S. GEFROE,,
41.985,*****,*****,08/07/2022,ABS-17101,224733,TROCA DO FLEXIVEL LUBRIFICAÇÃO TURBINA,BF DIESEL,"R$ 265,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,2697,27/07/2022,CM-17102,37475,"1. Fornecer e substituir o óleo do motor, conforme especificação do fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de óleo combustível;
 4. Fornecer e substituir o elemento do filtro secador de combustível;
 5. Fornecer e substituir o filtro de ar do motor;
 6. Realizar lavagem de chassi;
 7. Realizar lubrificação de todos os pontos de graxa, com graxa apropriada.",INJETRONIC,"R$ 2.099,99",FINALIZADA NA NEO,,
*****,*****,2698,12/08/2022,ABS-17103,128500,"1. Fornecer e substituir o óleo do motor, conforme especificação do fabricante;
 2. Fornecer e substituir o filtro de óleo do motor;
 3. Fornecer e substituir o filtro de óleo combustível;
 4. Fornecer e substituir o elemento do filtro secador de combustível;
 5. Fornecer e substituir o filtro de ar do motor;
 6. Realizar lavagem de chassi;
 7. Realizar lubrificação de todos os pontos de graxa, com graxa apropriada.",BF DIESEL,"R$ 2.400,00",FINALIZADA NA NEO,,
*****,*****,2699,21/07/2022,TP-17000 (ANTIGA TP-17004),138353,2. Fornecer e substituir o filtro de óleo do motor;,R 9 AUTO PECAS E SERVICOS,"R$ 791,00",FINALIZADA NA NEO,,
41.724,*****,2702,10/08/2022,ABS-17102,151127,3. Fornecer e substituir o filtro de óleo combustível;,BF DIESEL,"R$ 980,00",FINALIZADA NA NEO,,
*****,*****,2703,10/08/2022,ABS-17102,151127,4. Fornecer e substituir o elemento do filtro secador de combustível;,BF DIESEL,"R$ 1.385,00",FINALIZADA NA NEO,,
41.953,*****,*****,07/07/2022,VO-17008,202157,5. Fornecer e substituir o filtro de ar do motor;,MOLAMEC,"R$ 977,17",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,11/07/2022,RE-17102,*****,6. Realizar lavagem de chassi;,RE9 DIESEL,"R$ 35,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,13/07/2022,*****,*****,"7. Realizar lubrificação de todos os pontos de graxa, com graxa apropriada.",NOGUTI,"R$ 90,48",NÃO HOUVE O.S. GEFROE,,
41.999,*****,*****,19/07/2022,AS-17101,275680,TROCA DO PIVÔ INFERIOR E SUPERIOR DA SUSPENSÃO. INSPEÇÃO E REGULAGEM DE FREIOS (OBS.: PRÓXIMA INSPEÇÃO COM 277.000 KM),BF DIESEL,"R$ 1.180,00",NÃO HOUVE O.S. GEFROE,,
41.943,*****,*****,14/07/2022,MOB-17105,43640,TROCA DO PNEU TRASEIRO; TROCA DO OLEO E RETENTOR DA BENGALA; TROCA DO PARALAMA DIANTEIRO; TROCA DA LAMPADA DA LANTERNA TRASEIRA,RAVI MOTOS,"R$ 897,00",NÃO HOUVE O.S. GEFROE,,
41.987,*****,*****,15/07/2022,VO-17008,202007,TROCA DE BATERIA (HELIAR 60AH - Nº SÉRIE: 43210324688),REI DAS BATERIAS,"R$ 450,00",NÃO HOUVE O.S. GEFROE,,
41.987,*****,*****,18/07/2022,VO-17008,202007,REPARO NO ATERRAMENTO ELÉTRICO DO MOTOR,MACSOM,,NÃO HOUVE O.S. GEFROE,,
41.987,*****,*****,18/07/2022,VO-17008,202007,DIAGNÓSTICO QUANTO A FALHA DO MOTOR; TROCA DO SENSOR DE ROTAÇÃO,BF DIESEL,"R$ 760,00",NÃO HOUVE O.S. GEFROE,,SERVIÇO EXECUTADO POR GUARAREMA
42.011,*****,*****,14/07/2022,VO-17003,249323,REVISÃO ELÉTRICA GERAL (TROCA DOS RELÊS AUX.; TROCA DA LÂMP. TORPEDO GD.; TROCA DE TERMINAL; TROCA DO INTERRUPTOR DE FREIO; TROCA DO SENSOR DE VELOCIDADE; CARGA DE GÁS DO AR COND.; TROCA DAS LÂMPADAS DO BREAK LIGHT; REPARO NO CHICOTE DO VENTILADOR INTERNO; REPARO NO CORPO DE BORBOLETA; SERVIÇO DE SCANNER),NICOLAU,"R$ 1.168,99",NÃO HOUVE O.S. GEFROE,,
*****,*****,2712,08/08/2022,UR-17104,100425,"1. Fornecer e substituir o kit de corrente superior do motor;
 2. Fornecer e substituir o balancim de admissão com tuchos;
 3. Fornecer e substituir o comando de válvula de admissão;
 4. Realizar lavagem completa do veículo, e lubrificar os pontos de graxa.",BF DIESEL,"R$ 5.255,00",FINALIZADA NA NEO,,
41.933,*****,2713,19/10/2022,AB-17102,73546,"1. Reparar a barra longa da direção;
 2. Reparar a barra curta da direção;
 3. Reparar a manga de eixo lado direito e esquerdo;
 4. Fornecer e substituir 02 (dois) pinos da mola dianteira;
 5. Realizar alinhamento da direção;
 6. Realizar lavagem de chassi e lubrificação de todos os pontos de graxa, fornecendo a graxa apropriada;
 7. Reparar o sistema de escorva.",CURIÓ SERVIÇOS,"R$ 10.064,16",FINALIZADA NA NEO,,
*****,*****,2714,*****,AB-17102,*****,"1. Fornecer e substituir 02(dois) pneus de medidas 315/80R22.5 Tração (Borrachudo) 18 Lonas 156/150M Construção Radial;
 2. Fornecer e substituir 02 (dois) 315/80R22.5 Direcional (Liso) 154/150M Construção Radial;
 3. Fornecer e substituir 06 (seis) bicos;
 4. Realizar o balanceamento dos pneus.",*****,R$ -,CANCELADA NA NEO,,
42.010,*****,*****,20/07/2022,TP-17000 (ANTIGA TP-17004),138353,ADESIVAGEM (ALTERAÇÃO DE PREFIXO),BLACK FILMS,"R$ 60,00",NÃO HOUVE O.S. GEFROE,,
42.009,*****,*****,20/07/2022,TP-17004 (ANTIGA TP-17000),245579,ADESIVAGEM (ALTERAÇÃO DE PREFIXO),BLACK FILMS,"R$ 60,00",NÃO HOUVE O.S. GEFROE,,
42.010,*****,*****,29/07/2022,VO-17104,8461,ADESIVAGEM (ALTERAÇÃO DE PREFIXO),BLACK FILMS,"R$ 60,00",NÃO HOUVE O.S. GEFROE,,
42.009,*****,*****,21/07/2022,TP-17004 (ANTIGA TP-17000),245579,REPARO NO VOLANTE DA DIREÇÃO (TROCA DO COURO),BLACK FILMS,"R$ 180,00",NÃO HOUVE O.S. GEFROE,,
42.008,*****,*****,22/07/2022,CA-17001,248697,TROCA DO CILINDRO DA EMBREAGEM (GARANTIA),BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
41.875,*****,*****,22/07/2022,UR-17105,6488,MANUTENÇÃO NO RÁDIO DE COMUNICAÇÃO (OBS.: ACIONADA A GARANTIA. MANUTENÇÃO SERÁ REALIZADA NO PB GMA),REV BRASIL,R$ -,NÃO HOUVE O.S. GEFROE,,
41.999,*****,*****,25/07/2022,AS-17101,275692,ALINHAMENTO DE DIREÇÃO,MV PNEUS,"R$ 250,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/07/2022,TP-17000 (ANTIGA TP-17004),139115,RECONFIGURAÇÃO DO RÁDIO DE COMUNIÇÃO DEVIDO A ALTERAÇÃO DE PREFIXO,CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,25/07/2022,TP-17004 (ANTIGA TP-17000),245913,RECONFIGURAÇÃO DO RÁDIO DE COMUNIÇÃO DEVIDO A ALTERAÇÃO DE PREFIXO,CSM/MOpB,R$ -,NÃO HOUVE O.S. GEFROE,,
41.918,*****,*****,24/07/2022,MOB-17104,52849,MANUTENÇÃO NO SISTEMA DOS SINAIS SONOROS E LUMINOSOS,LUIZ (ENGESIG),"R$ 90,00",NÃO HOUVE O.S. GEFROE,,
41.971,*****,*****,25/07/2022,ASE-17101,150626,TROCA DA ABRAÇADEIRA DA MANGUEIRA DO RADIADOR,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
42.003,*****,*****,20/07/2022,ASE-17101,150626,COMPLETADO O ÓLEO DA EMBREAGEM,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
42.038,*****,*****,27/07/2022,AB-17102,73157,COMPRA DE CONEXÕES: COTOVELO 1/2 x MACHO 1/2; COTOVELO 1/4 x MACHO 1/4; COTOVELO 3/8 x MACHO 1/2; CONECTOR 3/4 x MACHO 3/4; COTOVELO INOX 90 M/F 3/4; BUCHA DE REDUÇÃO 3/4 x FEMEA 1/2.,UNIFLEX,"R$ 240,88",NÃO HOUVE O.S. GEFROE,,
42.038,*****,*****,27/07/2022,AB-17102,73157,VAZAMENTO NA CONEXÃO DO CORPO DA BOMBA DE INCÊNDIO (TROCADO :COTOVELO 1/2 x MACHO 1/2; COTOVELO 1/4 x MACHO 1/4; COTOVELO 3/8 x MACHO 1/2; CONECTOR 3/4 x MACHO 3/4; COTOVELO INOX 90 M/F 3/4; BUCHA DE REDUÇÃO 3/4 x FEMEA 1/2).,MOTOMEC,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2722,05/08/2022,UR-17206,168414,"1. Fornecer e substituir a tampa frontal da corrente;
 2. Fornecer e substituir o retentor da tampa da corrente;
 3. Fornecer e substituir a polia do virabrequim;
 4. Fornecer e substituir 02 (dois) retentores laterais do câmbio;
 5. Fornecer e substituir a suporte do semi eixo lado direito;
 6. Fornecer e substituir o óleo do câmbio, conforme especificação do fabricante;
 7. Fornecer e substituir o coxim inferior do câmbio.",COSMORAMA,"R$ 9.751,00",FINALIZADA NA NEO,,
